"","lambda","eps","T4","L","M"
"time...87",0.0401796486432839,0.01105,50.7,90.9528940544162,47.1583497314658
"time...88",0.0417444024271914,0.01081,43.8,89.4927909075027,45.4448828192366
"time...89",0.0397262667396573,0.01102,53.9,91.3023128173614,47.5838269406435
"time...90",0.0408048841178398,0.01088,48.8,91.0605850269598,46.7250433884321
"time...91",0.0407401195327483,0.01086,48.8,91.0527116666727,46.7892434565078
"time...92",0.0409433593000919,0.01098,47.7,90.9592280545162,46.6199749747908
"time...93",0.0415135930298079,0.01079,44.8,90.0236668046032,45.8454664144163
"time...94",0.0403968202716421,0.01086,49.8,91.0400899587752,47.057754680378
"time...95",0.0405842926510092,0.01092,49.8,91.0517510075252,46.8638074022811
"time...96",0.0412052965715776,0.01098,46.7,90.7765454761612,46.3488451240055
"time...97",0.0400499205918392,0.01113,51.7,90.776314824025,47.1214779509564
"time...98",0.040484871325014,0.01089,49.8,91.045567013979,46.9664381018859
"time...99",0.0401277074320084,0.0113,51.6,89.607585361746,46.4317524627111
"time...100",0.0387371924572011,0.01089,59.4,94.8250963886559,50.1821012075176
"time...101",0.0407778190431471,0.01058,49,94.860335075786,48.7044467139115
"time...102",0.0396737294839567,0.01114,53.8,91.3119893824688,47.6469784139995
"time...103",0.0405620079015135,0.01091,49.8,91.0503647297022,46.8867654130545
"time...104",0.0421016451145511,0.01071,42.9,91.6638698660628,46.2914600433033
"time...105",0.0394861428881504,0.01096,55,93.1322535380343,48.7279114981534
"time...106",0.0404491851227114,0.01117,49.6,89.8325595668317,46.3783019326636
"time...107",0.039485971741839,0.01096,55,93.1322979803018,48.7281261686039
